2024-10-1012:44:55,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:55,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:55,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:56,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,44,ID:1,VALUE:object is move to CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,44,ID:1,VALUE:object is move to CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,44,ID:1,VALUE:object is move to CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:57,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,44,ID:1,VALUE:object is move to CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,44,ID:1,VALUE:object is move to CRITICAL_ZONE_2
2024-10-1012:44:58,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:00,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:00,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:00,1,2,44,ID:1,VALUE:object is move to CRITICAL_ZONE_2
2024-10-1012:45:00,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:00,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
2024-10-1012:45:01,1,2,53,ID:1,VALUE:Veichle is slowing down in CRITICAL_ZONE_2
